N,SUNSPOT_COUNTS,SUNSPOT_COUNTS
2638,107.3,107.3
2639,105.9,105.9
2640,104.4,104.4
2641,105.2,105.2
2642,108.8,108.8
2643,110.9,110.9
2644,110.3,110.3
2645,110.0,110.0
2646,110.0,110.0
2647,109.1,109.1
2648,106.9,106.9
2649,105.9,105.9
2650,106.6,106.6
2651,105.6,105.6
2652,106.2,106.2
2653,106.8,106.8
2654,104.0,104.0
2655,104.2,104.2
2656,104.9,104.9
2657,104.9,104.9
2658,106.2,106.2
2659,105.8,105.8
2660,106.5,106.5
2661,105.8,105.8
2662,105.9,105.9
2663,104.7,104.7
2664,103.0,103.0
2665,98.9,98.9
2666,95.4,95.4
2667,92.3,92.3
2668,86.5,86.5
2669,81.7,81.7
2670,79.1,79.1
2671,76.4,76.4
2672,72.3,72.3
2673,69.4,69.4
2674,66.8,66.8
2675,66.7,66.7
2676,64.2,64.2
2677,65.0,65.0
2678,66.6,66.6
2679,65.9,65.9
2680,67.8,67.8
2681,71.0,71.0
2682,70.6,70.6
2683,71.9,71.9
2684,73.0,73.0
2685,73.8,73.8
2686,72.0,72.0
2687,68.9,68.9
2688,67.4,67.4
2689,63.6,63.6
2690,60.8,60.8
2691,60.3,60.3
2692,57.2,57.2
2693,53.1,53.1
2694,48.7,48.7
2695,44.4,44.4
2696,44.0,44.0
2697,41.5,41.5
2698,40.0,40.0
2699,38.2,38.2
2700,36.8,36.8
2701,35.4,35.4
2702,33.4,33.4
2703,31.9,31.9
2704,31.7,31.7
2705,31.4,31.4
2706,34.1,34.1
2707,34.8,34.8
2708,33.2,33.2
2709,34.6,34.6
2710,34.6,34.6
2711,34.4,34.4
2712,33.7,33.7
2713,32.5,32.5
2714,31.7,31.7
2715,28.7,28.7
2716,26.2,26.2
2717,24.1,24.1
2718,21.8,21.8
2719,22.3,22.3
2720,20.2,20.2
2721,17.0,17.0
2722,16.5,16.5
2723,15.5,15.5
2724,14.6,14.6
2725,14.0,14.0
2726,14.8,14.8
2727,16.0,16.0
2728,16.3,16.3
2729,16.3,16.3
2730,14.1,14.1
2731,12.2,12.2
2732,12.2,12.2
2733,13.1,13.1
2734,11.9,11.9
2735,12.6,12.6
2736,13.2,13.2
2737,14.8,14.8
2738,13.7,13.7
2739,13.2,13.2
2740,13.7,13.7
2741,15.9,15.9
2742,17.6,17.6
2743,18.7,18.7
2744,21.2,21.2
2745,23.2,23.2
2746,25.2,25.2
2747,27.5,27.5
2748,30.4,30.4
2749,36.3,36.3
2750,42.0,42.0
2751,49.2,49.2
2752,54.5,54.5
2753,59.3,59.3
2754,63.3,63.3
2755,65.7,65.7
2756,73.5,73.5
2757,80.3,80.3
2758,86.0,86.0
2759,92.7,92.7
2760,102.2,102.2
2761,105.9,105.9
2762,111.0,111.0
2763,111.2,111.2
2764,115.5,115.5
2765,120.0,120.0
2766,127.4,127.4
2767,134.4,134.4
2768,138.6,138.6
2769,143.7,143.7
2770,150.8,150.8
2771,155.3,155.3
2772,154.7,154.7
2773,156.2,156.2
2774,155.2,155.2
2775,160.4,160.4
2776,164.2,164.2
2777,164.8,164.8
2778,162.9,162.9
2779,162.3,162.3
2780,159.6,159.6
2781,157.8,157.8
2782,154.8,154.8
2783,154.7,154.7
2784,150.9,150.9
2785,149.7,149.7
2786,150.5,150.5
2787,149.8,149.8
2788,145.5,145.5
2789,139.9,139.9
2790,140.5,140.5
2791,142.4,142.4
2792,143.5,143.5
2793,143.3,143.3
2794,142.4,142.4
2795,140.4,140.4
2796,140.1,140.1
2797,142.0,142.0
2798,143.5,143.5
2799,140.7,140.7
2800,136.9,136.9
2801,138.6,138.6
2802,135.4,135.4
2803,131.2,131.2
2804,127.1,127.1
2805,121.5,121.5
2806,118.2,118.2
2807,116.3,116.3
2808,114.1,114.1
2809,104.7,104.7
2810,97.4,97.4
2811,94.0,94.0
2812,95.4,95.4
2813,93.8,93.8
2814,91.8,91.8
2815,88.8,88.8
2816,83.1,83.1
2817,79.8,79.8
2818,74.4,74.4
2819,66.6,66.6
